Date,M2SL
1959-01-31,286.6
1959-02-28,287.7
1959-03-31,289.2
1959-04-30,290.1
1959-05-31,292.2
1959-06-30,294.1
1959-07-31,295.2
1959-08-31,296.4
1959-09-30,296.7
1959-10-31,296.5
1959-11-30,297.1
1959-12-31,297.8
1960-01-31,298.2
1960-02-29,298.4
1960-03-31,299.3
1960-04-30,300.1
1960-05-31,300.9
1960-06-30,302.3
1960-07-31,304.1
1960-08-31,306.9
1960-09-30,308.4
1960-10-31,309.5
1960-11-30,310.9
1960-12-31,312.4
1961-01-31,314.1
1961-02-28,316.5
1961-03-31,318.3
1961-04-30,319.9
1961-05-31,322.2
1961-06-30,324.3
1961-07-31,325.6
1961-08-31,327.6
1961-09-30,329.5
1961-10-31,331.1
1961-11-30,333.4
1961-12-31,335.5
1962-01-31,337.5
1962-02-28,340.1
1962-03-31,343.1
1962-04-30,345.5
1962-05-31,347.5
1962-06-30,349.3
1962-07-31,350.8
1962-08-31,352.8
1962-09-30,354.9
1962-10-31,357.2
1962-11-30,359.8
1962-12-31,362.7
1963-01-31,365.2
1963-02-28,367.9
1963-03-31,370.7
1963-04-30,373.3
1963-05-31,376.1
1963-06-30,378.4
1963-07-31,381.1
1963-08-31,383.6
1963-09-30,386.0
1963-10-31,388.3
1963-11-30,391.5
1963-12-31,393.2
1964-01-31,395.2
1964-02-29,397.6
1964-03-31,399.8
1964-04-30,401.7
1964-05-31,404.2
1964-06-30,407.1
1964-07-31,410.1
1964-08-31,413.4
1964-09-30,416.9
1964-10-31,419.1
1964-11-30,422.0
1964-12-31,424.7
1965-01-31,427.5
1965-02-28,430.4
1965-03-31,433.2
1965-04-30,435.4
1965-05-31,437.1
1965-06-30,440.1
1965-07-31,442.9
1965-08-31,445.8
1965-09-30,449.5
1965-10-31,452.6
1965-11-30,455.7
1965-12-31,459.2
1966-01-31,462.0
1966-02-28,464.6
1966-03-31,467.2
1966-04-30,469.3
1966-05-31,470.1
1966-06-30,471.2
1966-07-31,470.9
1966-08-31,472.6
1966-09-30,475.4
1966-10-31,475.7
1966-11-30,477.3
1966-12-31,480.2
1967-01-31,481.6
1967-02-28,485.1
1967-03-31,489.7
1967-04-30,492.1
1967-05-31,497.2
1967-06-30,502.0
1967-07-31,506.3
1967-08-31,510.8
1967-09-30,514.7
1967-10-31,518.2
1967-11-30,521.2
1967-12-31,524.8
1968-01-31,527.4
1968-02-29,530.4
1968-03-31,533.2
1968-04-30,535.7
1968-05-31,538.9
1968-06-30,542.6
1968-07-31,545.6
1968-08-31,549.4
1968-09-30,553.6
1968-10-31,557.6
1968-11-30,562.4
1968-12-31,566.8
1969-01-31,569.3
1969-02-28,571.9
1969-03-31,574.4
1969-04-30,575.7
1969-05-31,576.5
1969-06-30,578.5
1969-07-31,579.5
1969-08-31,580.1
1969-09-30,582.1
1969-10-31,583.4
1969-11-30,585.4
1969-12-31,587.9
1970-01-31,589.6
1970-02-28,586.3
1970-03-31,587.3
